16 16
0 0 -7
0 1 -9
0 2 10
0 3 -10
0 4 -8
0 5 -10
0 6 4
0 7 6
0 8 -1
0 9 -3
0 11 3
0 12 10
0 13 -10
0 15 6
1 0 10
1 1 -3
1 2 2
1 3 7
1 4 9
1 5 1
1 6 9
1 7 2
1 8 -7
1 9 6
1 10 3
1 11 7
1 12 -3
1 13 -3
1 14 -5
1 15 10
2 0 -2
2 1 6
2 2 -1
2 3 4
2 4 9
2 5 -7
2 7 3
2 9 -2
2 10 -7
2 11 10
2 12 -2
2 13 9
2 14 1
2 15 10
3 0 9
3 1 7
3 2 5
3 3 -5
3 4 3
3 5 10
3 6 -2
3 7 -2
3 8 -8
3 9 -4
3 10 -3
3 11 -5
3 12 7
3 13 -7
3 14 -6
4 0 -3
4 1 -2
4 2 -7
4 3 -4
4 4 -7
4 5 3
4 6 -1
4 7 2
4 8 -1
4 9 7
4 10 -3
4 11 2
4 12 3
4 13 3
4 14 -9
4 15 3
5 0 9
5 1 -3
5 2 -10
5 3 -3
5 4 -3
5 5 -1
5 6 -4
5 7 9
5 8 -1
5 9 1
5 10 1
5 11 8
5 12 -8
5 13 -10
5 14 -1
6 0 -4
6 1 -8
6 2 9
6 3 -6
6 4 1
6 5 -3
6 6 -4
6 7 4
6 8 -3
6 10 10
6 11 -5
6 12 6
6 13 8
6 15 6
7 1 -4
7 2 7
7 3 -6
7 4 1
7 5 -6
7 6 -2
7 7 6
7 8 9
7 9 -6
7 10 1
7 11 6
7 12 -1
7 13 8
7 14 -10
7 15 4
8 0 -10
8 1 9
8 2 -9
8 3 3
8 4 -1
8 5 9
8 6 7
8 7 -3
8 8 5
8 9 4
8 11 9
8 12 -6
8 13 -10
8 14 3
8 15 5
9 0 -6
9 1 -7
9 2 5
9 3 3
9 4 10
9 5 9
9 6 -4
9 7 5
9 8 -8
9 9 -1
9 10 7
9 11 4
9 12 5
9 13 2
9 14 -2
9 15 3
10 0 4
10 1 2
10 2 1
10 3 -1
10 4 4
10 5 -9
10 6 8
10 7 -10
10 8 6
10 9 -5
10 10 -9
10 11 2
10 12 -2
10 13 -6
10 14 10
10 15 4
11 0 8
11 1 -4
11 2 -7
11 3 -5
11 4 -10
11 5 -3
11 6 5
11 7 9
11 8 7
11 9 9
11 10 4
11 11 9
11 12 4
11 13 -7
11 14 -3
11 15 4
12 0 -9
12 1 9
12 2 8
12 3 -2
12 4 -8
12 5 3
12 6 5
12 7 7
12 8 -6
12 9 4
12 10 -1
12 11 7
12 12 9
12 13 4
12 15 -10
13 0 5
13 1 10
13 2 5
13 3 -2
13 4 -9
13 5 -2
13 6 7
13 7 -6
13 8 -3
13 9 8
13 10 7
13 11 5
13 12 7
13 13 -6
13 14 5
13 15 -2
14 0 -2
14 1 8
14 2 -5
14 3 -2
14 4 8
14 5 -5
14 6 -3
14 7 -3
14 8 8
14 10 3
14 11 8
14 12 -8
14 13 -1
14 14 -8
14 15 -7
15 0 1
15 1 -8
15 2 -2
15 3 3
15 4 -1
15 5 -7
15 6 -4
15 7 -6
15 8 -5
15 9 4
15 10 -10
15 11 -1
15 12 -3
15 13 10
15 14 5
15 15 4
