256 256
0 0 8
0 1 1
0 2 -8
0 3 -3
0 4 8
0 5 3
0 6 -3
0 7 -2
0 8 8
0 9 -8
0 10 7
0 11 -6
0 12 -5
0 13 -4
0 14 -1
0 15 2
0 16 4
0 17 7
0 18 6
0 19 -10
0 20 9
0 21 5
0 22 -5
0 23 1
0 24 -8
0 25 6
0 27 -3
0 28 -3
0 29 -6
0 31 -5
0 32 -2
0 33 4
0 34 -6
0 35 7
0 36 -6
0 37 -2
0 38 5
0 39 -6
0 40 -10
0 41 -4
0 42 -8
0 43 -9
0 44 -10
0 45 -6
0 46 -6
0 47 8
0 48 -7
0 49 5
0 50 -9
0 51 -3
0 52 -6
0 53 2
0 54 -10
0 55 -2
0 56 9
0 57 5
0 58 8
0 59 -1
0 60 -4
0 61 -3
0 62 -6
0 63 -2
0 64 -6
0 65 10
0 66 -7
0 67 -6
0 69 1
0 70 -6
0 71 3
0 72 -9
0 73 1
0 74 -6
0 75 10
0 76 -1
0 77 -2
0 79 -9
0 80 10
0 81 8
0 82 -9
0 83 -5
0 85 -3
0 86 10
0 87 -2
0 88 9
0 89 -9
0 90 -10
0 91 -7
0 92 -7
0 93 -2
0 94 -2
0 95 1
0 96 -2
0 97 10
0 98 10
0 99 6
0 100 3
0 101 2
0 102 -10
0 103 -6
0 104 10
0 105 -4
0 106 -6
0 107 8
0 108 -4
0 109 10
0 110 4
0 111 -10
0 112 5
0 113 -10
0 114 8
0 115 2
0 116 7
0 117 -9
0 118 -2
0 119 4
0 120 1
0 121 3
0 122 -2
0 123 -1
0 124 -6
0 125 -3
0 126 8
0 127 7
0 128 5
0 129 -9
0 130 -1
0 132 7
0 133 6
0 134 2
0 135 -8
0 136 -9
0 137 1
0 138 -10
0 139 6
0 140 -5
0 141 4
0 142 -1
0 143 -6
0 144 1
0 145 7
0 146 -10
0 147 -4
0 149 -9
0 150 7
0 151 -7
0 152 -2
0 153 -9
0 154 6
0 155 4
0 156 3
0 157 7
0 158 -1
0 159 -10
0 160 9
0 161 -8
0 162 -4
0 163 -6
0 164 8
0 166 9
0 167 2
0 168 -10
0 169 -9
0 170 1
0 171 5
0 172 -2
0 173 8
0 174 1
0 175 4
0 176 4
0 177 10
0 178 -10
0 180 2
0 181 -2
0 182 -9
0 183 2
0 184 7
0 185 9
0 186 4
0 188 4
0 189 4
0 190 7
0 191 5
0 192 -8
0 193 5
0 194 -5
0 195 7
0 196 -3
0 197 1
0 199 -4
0 200 -4
0 201 -5
0 202 -6
0 203 -6
0 204 -4
0 205 -6
0 206 9
0 207 5
0 208 -3
0 209 5
0 210 5
0 211 3
0 212 9
0 213 -9
0 214 -10
0 215 -9
0 216 4
0 217 -3
0 218 -4
0 219 -9
0 220 -7
0 221 -4
0 223 -4
0 224 2
0 225 -6
0 226 8
0 227 3
0 228 4
0 229 -10
0 230 -1
0 231 -4
0 232 -3
0 233 -8
0 234 2
0 235 3
0 236 3
0 237 3
0 238 6
0 239 -10
0 240 5
0 241 1
0 242 10
0 243 5
0 244 4
0 245 -4
0 247 2
0 248 -6
0 249 9
0 250 -5
0 251 -3
0 252 -3
0 253 2
0 254 8
0 255 1
1 0 9
1 1 -4
1 2 -1
1 3 -3
1 4 -5
1 5 3
1 6 -4
1 7 1
1 8 -4
1 9 9
1 10 4
1 11 5
1 12 -1
1 13 -2
1 14 -4
1 15 4
1 16 3
1 17 -6
1 18 1
1 19 -6
1 20 1
1 21 3
1 22 -6
1 23 -1
1 24 4
1 25 2
1 26 -6
1 27 2
1 28 -9
1 29 5
1 30 -6
1 31 -3
1 32 -6
1 33 4
1 34 9
1 35 -3
1 36 -10
1 37 -4
1 38 10
1 39 -5
1 40 7
1 41 -3
1 42 9
1 43 -8
1 45 8
1 47 -8
1 48 -9
1 49 -10
1 50 6
1 51 2
1 52 -5
1 53 8
1 54 -3
1 55 8
1 56 -7
1 57 -2
1 58 3
1 59 6
1 60 8
1 61 -9
1 62 7
1 63 -9
1 64 3
1 65 10
1 66 3
1 67 -1
1 68 -6
1 69 -10
1 70 6
1 71 -4
1 72 3
1 74 -5
1 75 -1
1 76 6
1 77 10
1 78 -8
1 79 -8
1 80 -2
1 81 -9
1 82 6
1 83 -4
1 84 6
1 85 9
1 86 -8
1 87 5
1 88 3
1 89 8
1 90 -6
1 91 -1
1 92 -6
1 93 7
1 94 5
1 95 2
1 96 -9
1 97 4
1 98 -7
1 99 -3
1 100 -4
1 101 6
1 102 1
1 103 -10
1 104 1
1 105 -4
1 106 4
1 107 5
1 109 10
1 110 7
1 111 -9
1 112 -8
1 113 10
1 114 10
1 115 10
1 116 5
1 117 9
1 118 3
1 119 -10
1 120 -10
1 121 6
1 122 2
1 123 2
1 125 -2
1 126 -10
1 127 -6
1 128 10
1 129 -2
1 130 -8
1 131 -10
1 132 8
1 133 -8
1 134 6
1 136 -9
1 137 2
1 138 -1
1 139 6
1 140 10
1 141 -8
1 143 5
1 144 -8
1 145 -8
1 147 -1
1 148 5
1 149 7
1 150 -4
1 151 10
1 152 2
1 153 -8
1 154 -5
1 155 -6
1 156 10
1 157 -6
1 158 2
1 159 -1
1 160 8
1 161 -8
1 162 -4
1 163 6
1 164 3
1 165 1
1 166 -9
1 167 -2
1 168 4
1 169 -3
1 170 9
1 171 -7
1 172 -6
1 173 8
1 174 -2
1 175 -8
1 176 -2
1 177 10
1 178 9
1 179 -9
1 180 10
1 181 6
1 182 9
1 183 -7
1 184 7
1 185 -8
1 186 3
1 187 4
1 188 -3
1 189 -3
1 190 5
1 191 3
1 192 4
1 193 1
1 194 1
1 195 -8
1 196 3
1 197 -8
1 198 6
1 199 -4
1 200 -4
1 201 -10
1 202 10
1 203 -2
1 205 -3
1 206 -5
1 207 -6
1 208 2
1 209 -3
1 210 10
1 211 -4
1 212 1
1 213 -6
1 214 -5
1 215 10
1 216 -8
1 217 3
1 218 9
1 219 -10
1 220 8
1 221 3
1 222 3
1 223 -9
1 224 -3
1 225 1
1 226 -10
1 227 -1
1 228 4
1 229 -6
1 230 -2
1 231 -6
1 232 -9
1 233 3
1 234 -5
1 235 3
1 236 -4
1 237 10
1 238 -5
1 239 -5
1 240 -4
1 241 -3
1 243 -1
1 244 -2
1 245 -7
1 247 6
1 248 -1
1 249 9
1 250 -2
1 251 -2
1 252 8
1 254 -9
1 255 -6
2 0 -2
2 1 3
2 2 -1
2 3 2
2 4 -7
2 5 -1
2 6 -5
2 7 1
2 8 -2
2 9 -6
2 10 5
2 11 -3
2 12 -7
2 13 2
2 14 -4
2 15 10
2 16 10
2 17 -9
2 18 -7
2 19 3
2 20 -2
2 21 -5
2 22 -3
2 23 9
2 24 3
2 26 -4
2 27 -10
2 28 4
2 29 9
2 30 -5
2 31 -2
2 32 8
2 33 6
2 34 8
2 35 -4
2 37 9
2 38 7
2 39 -2
2 40 -8
2 41 -3
2 42 7
2 43 -7
2 44 -3
2 45 -3
2 46 -4
2 47 -1
2 48 -3
2 49 8
2 50 2
2 51 2
2 52 -4
2 53 1
2 54 -1
2 57 7
2 58 -6
2 59 8
2 60 -4
2 61 1
2 62 9
2 63 -2
2 64 9
2 65 6
2 66 2
2 67 2
2 68 -5
2 69 -5
2 71 -2
2 72 -1
2 73 1
2 74 -3
2 75 7
2 76 -10
2 77 9
2 78 -5
2 79 -3
2 80 7
2 81 -2
2 82 -8
2 83 1
2 84 -7
2 85 -9
2 86 -4
2 88 6
2 89 -2
2 90 -6
2 91 6
2 92 -6
2 93 9
2 94 10
2 95 -9
2 96 6
2 97 3
2 98 -3
2 99 9
2 100 -2
2 101 2
2 102 5
2 103 -2
2 104 10
2 105 -6
2 106 5
2 107 -7
2 108 -10
2 109 6
2 110 8
2 111 6
2 112 -5
2 113 3
2 114 2
2 115 -6
2 116 7
2 117 -7
2 118 3
2 119 6
2 120 3
2 121 3
2 122 -2
2 123 3
2 124 -4
2 125 2
2 126 10
2 127 7
2 128 -10
2 129 7
2 130 -5
2 131 5
2 132 -7
2 133 -3
2 134 7
2 135 9
2 136 -9
2 137 -8
2 138 -5
2 139 -4
2 140 2
2 141 5
2 142 8
2 143 4
2 144 1
2 145 7
2 146 -1
2 147 9
2 148 7
2 149 6
2 150 -7
2 151 -7
2 152 -4
2 153 -1
2 154 -8
2 155 7
2 156 6
2 157 -1
2 158 2
2 159 6
2 160 9
2 161 -10
2 162 -8
2 163 10
2 164 -1
2 165 7
2 166 7
2 167 -3
2 168 -8
2 169 10
2 170 -10
2 171 3
2 172 -2
2 173 -7
2 174 -7
2 175 -7
2 176 -9
2 177 8
2 178 -8
2 179 2
2 180 5
2 181 9
2 182 -4
2 183 -10
2 184 5
2 185 -2
2 186 5
2 187 5
2 188 -5
2 189 5
2 190 -2
2 191 -6
2 192 -9
2 193 -4
2 194 5
2 195 -3
2 196 2
2 197 -2
2 198 -1
2 199 2
2 200 8
2 201 8
2 202 -3
2 203 10
2 204 10
2 205 -9
2 206 -10
2 207 -6
2 208 -6
2 209 7
2 210 1
2 211 4
2 212 9
2 213 -3
2 214 -1
2 215 6
2 216 -8
2 217 1
2 218 -4
2 219 -1
2 220 -7
2 221 9
2 222 -1
2 223 -3
2 224 -3
2 225 -4
2 226 3
2 227 -3
2 228 -6
2 229 -10
2 230 -10
2 231 9
2 232 3
2 233 4
2 234 -6
2 235 -5
2 236 -9
2 237 3
2 238 5
2 239 -1
2 240 -5
2 241 -9
2 242 3
2 244 -8
2 246 -2
2 247 6
2 248 -3
2 249 7
2 250 2
2 251 10
2 252 9
2 253 4
2 254 2
2 255 10
3 0 6
3 1 -2
3 2 -8
3 3 1
3 4 2
3 5 -8
3 6 1
3 7 8
3 8 -7
3 10 -9
3 11 -6
3 13 1
3 14 6
3 15 4
3 16 -9
3 17 -5
3 18 -4
3 19 -10
3 20 -10
3 21 7
3 22 3
3 23 10
3 24 -2
3 26 -6
3 27 3
3 28 5
3 29 -6
3 30 3
3 33 -4
3 34 -5
3 35 5
3 36 3
3 37 -7
3 38 1
3 39 2
3 40 5
3 41 3
3 42 6
3 43 -9
3 44 -7
3 45 -3
3 46 -2
3 47 8
3 48 9
3 49 10
3 50 -8
3 51 -9
3 52 -7
3 53 2
3 54 -10
3 55 8
3 56 -5
3 57 1
3 58 3
3 59 -10
3 60 6
3 61 9
3 62 1
3 63 10
3 64 -10
3 65 -8
3 66 -6
3 67 5
3 68 -1
3 69 -5
3 70 -8
3 71 3
3 72 5
3 73 6
3 74 -3
3 75 -3
3 76 -8
3 77 -3
3 78 -5
3 79 2
3 80 -7
3 81 6
3 82 9
3 83 2
3 84 6
3 85 3
3 86 4
3 87 -1
3 88 2
3 89 -10
3 90 5
3 91 5
3 92 -7
3 93 -10
3 94 -6
3 95 -8
3 96 -3
3 97 -6
3 99 8
3 100 -10
3 101 7
3 102 2
3 103 7
3 105 -1
3 106 -1
3 107 -3
3 108 5
3 109 -6
3 110 -10
3 111 -6
3 112 -1
3 113 10
3 114 -8
3 115 -1
3 116 -3
3 117 -10
3 118 2
3 119 3
3 120 -2
3 121 7
3 122 -4
3 123 -10
3 124 -7
3 126 4
3 127 -10
3 129 -10
3 130 9
3 131 3
3 132 -3
3 134 10
3 135 -3
3 136 -10
3 138 -2
3 139 -3
3 140 8
3 141 -4
3 143 -4
3 144 10
3 145 -6
3 146 3
3 147 3
3 148 7
3 149 -10
3 150 7
3 152 10
3 153 -5
3 154 -4
3 155 9
3 156 3
3 157 8
3 158 -9
3 159 10
3 160 2
3 161 -10
3 162 -3
3 164 -1
3 165 -10
3 166 5
3 167 -10
3 168 10
3 169 -8
3 170 -4
3 171 6
3 172 -8
3 173 2
3 174 -8
3 175 -6
3 176 -2
3 177 9
3 178 -10
3 179 -9
3 180 -8
3 181 10
3 182 -10
3 184 -7
3 185 3
3 186 -1
3 187 4
3 188 1
3 189 9
3 190 4
3 191 6
3 192 2
3 193 -4
3 195 -6
3 196 5
3 197 -1
3 198 3
3 199 4
3 200 -4
3 201 6
3 203 7
3 204 -3
3 205 6
3 206 -9
3 207 9
3 208 -7
3 209 2
3 210 -7
3 211 -5
3 212 -3
3 213 -8
3 214 9
3 215 7
3 216 -5
3 217 -6
3 218 -7
3 219 -5
3 220 7
3 221 -2
3 222 1
3 223 -9
3 224 -9
3 225 -1
3 226 -9
3 227 -10
3 228 7
3 229 7
3 230 -1
3 231 9
3 232 -3
3 233 10
3 234 -8
3 235 6
3 236 -6
3 237 6
3 238 8
3 239 2
3 240 -4
3 241 -2
3 242 -2
3 243 -5
3 244 -9
3 245 -9
3 246 -1
3 247 -2
3 248 5
3 249 8
3 250 -3
3 252 -10
3 253 -6
3 254 -3
3 255 2
4 0 -5
4 1 -3
4 2 6
4 3 9
4 4 1
4 5 10
4 6 -6
4 7 -2
4 8 -4
4 9 -8
4 10 2
4 11 4
4 12 4
4 13 -3
4 15 5
4 16 6
4 17 9
4 18 -10
4 19 -8
4 20 -8
4 21 -5
4 22 -4
4 24 -10
4 25 -9
4 26 10
4 28 -1
4 29 3
4 30 10
4 31 -9
4 32 3
4 34 -10
4 35 8
4 36 1
4 38 -2
4 39 9
4 40 -10
4 41 -4
4 43 5
4 44 -4
4 45 -10
4 46 5
4 47 9
4 48 6
4 49 2
4 50 9
4 51 -6
4 52 1
4 53 9
4 54 -3
4 55 -8
4 56 -7
4 57 -9
4 58 2
4 59 2
4 60 3
4 61 -10
4 62 8
4 63 -10
4 64 -4
4 65 -4
4 66 4
4 68 -1
4 69 7
4 70 7
4 71 5
4 72 -5
4 73 -9
4 74 1
4 75 -5
4 76 -6
4 77 -10
4 78 7
4 79 5
4 80 -6
4 81 1
4 82 -6
4 83 -8
4 84 5
4 85 4
4 86 8
4 87 -10
4 88 -9
4 89 -5
4 90 10
4 91 -6
4 92 2
4 93 8
4 94 5
4 95 -8
4 96 4
4 97 -7
4 98 2
4 99 6
4 100 -4
4 101 6
4 102 3
4 103 -7
4 104 -10
4 105 8
4 106 -9
4 107 -4
4 108 -10
4 109 -7
4 110 5
4 111 -2
4 112 -10
4 113 4
4 115 -9
4 116 -1
4 117 3
4 118 1
4 119 4
4 120 5
4 121 7
4 122 -7
4 123 -4
4 124 -9
4 125 -10
4 126 -7
4 127 -2
4 128 1
4 129 -6
4 130 -6
4 131 -6
4 132 5
4 133 -5
4 134 -9
4 135 -5
4 136 4
4 137 -10
4 138 6
4 139 4
4 140 9
4 141 -10
4 142 -8
4 143 7
4 144 7
4 145 8
4 147 -6
4 148 5
4 149 5
4 150 2
4 151 5
4 152 1
4 154 7
4 155 -10
4 156 -6
4 157 3
4 158 -1
4 159 -9
4 160 9
4 161 7
4 162 4
4 163 6
4 164 9
4 165 3
4 166 -6
4 167 2
4 168 -3
4 169 6
4 170 -10
4 171 -10
4 172 -2
4 173 10
4 174 3
4 175 3
4 176 -7
4 178 3
4 179 -2
4 180 10
4 181 -3
4 182 7
4 183 9
4 184 6
4 185 10
4 186 -4
4 187 -5
4 188 9
4 189 -9
4 190 7
4 191 7
4 192 -1
4 193 -9
4 194 3
4 195 -2
4 196 2
4 197 -1
4 198 10
4 199 -7
4 200 8
4 201 1
4 202 2
4 203 -2
4 204 -6
4 207 6
4 208 10
4 209 -8
4 210 -2
4 211 -1
4 212 3
4 213 5
4 215 -6
4 216 -3
4 217 -7
4 218 8
4 219 -4
4 220 2
4 221 -5
4 222 -5
4 223 10
4 224 5
4 225 3
4 226 -1
4 227 -4
