128 128
0 0 9
0 1 6
0 2 5
0 3 7
0 4 4
0 5 5
0 6 4
0 7 -2
0 8 -1
0 9 -2
0 10 -10
0 11 -1
0 12 -6
0 14 1
0 15 -5
0 16 -5
0 17 -4
0 18 -2
0 19 4
0 20 2
0 21 -10
0 22 10
0 23 2
0 24 -9
0 25 5
0 26 3
0 27 -2
0 28 -8
0 29 -5
0 30 -1
0 31 -8
0 32 4
0 33 6
0 34 -2
0 35 6
0 36 -3
0 37 6
0 38 2
0 40 2
0 41 6
0 42 9
0 43 -1
0 45 1
0 46 -8
0 47 6
0 49 -3
0 50 6
0 51 -5
0 52 6
0 53 2
0 54 6
0 55 2
0 56 -9
0 57 10
0 58 10
0 59 -1
0 60 7
0 61 5
0 62 -9
0 63 -9
0 64 5
0 65 -6
0 67 -9
0 68 -2
0 69 2
0 70 -7
0 71 9
0 72 -6
0 73 1
0 74 8
0 75 -9
0 76 8
0 77 -7
0 78 3
0 79 1
0 80 9
0 81 -6
0 82 3
0 83 -1
0 84 -2
0 85 1
0 86 6
0 88 5
0 89 7
0 90 -7
0 91 9
0 92 -10
0 93 -6
0 94 -3
0 95 1
0 96 7
0 97 -9
0 98 -1
0 99 -2
0 100 3
0 101 8
0 102 -9
0 103 7
0 104 3
0 105 -2
0 106 -1
0 108 -6
0 109 -6
0 110 9
0 111 -1
0 112 1
0 113 6
0 114 -10
0 115 -3
0 116 -1
0 117 8
0 118 10
0 119 2
0 120 -6
0 121 3
0 122 1
0 123 -1
0 124 -4
0 125 -5
0 126 9
0 127 8
1 0 -6
1 1 5
1 2 -3
1 3 -1
1 4 -4
1 5 9
1 6 -9
1 7 -2
1 8 4
1 9 -10
1 11 9
1 12 8
1 13 2
1 14 -7
1 15 -10
1 16 4
1 17 2
1 18 10
1 19 -6
1 20 -10
1 22 -7
1 23 -3
1 24 4
1 25 9
1 26 6
1 27 1
1 28 -6
1 29 -8
1 30 -2
1 31 7
1 32 3
1 33 -1
1 34 5
1 35 7
1 36 -10
1 37 3
1 38 -3
1 39 -4
1 40 4
1 42 -9
1 43 7
1 44 6
1 45 10
1 46 -5
1 47 5
1 48 -7
1 49 -9
1 50 -7
1 51 -7
1 52 -5
1 53 8
1 54 10
1 55 5
1 56 -8
1 57 -6
1 58 3
1 59 -2
1 60 9
1 61 3
1 62 7
1 63 9
1 64 -7
1 65 6
1 66 9
1 67 -1
1 69 10
1 70 -3
1 72 5
1 73 -8
1 74 2
1 75 9
1 76 -6
1 77 7
1 79 -10
1 80 -5
1 81 10
1 82 -2
1 83 9
1 84 9
1 86 -2
1 87 -1
1 88 -4
1 89 10
1 90 -5
